;Kingdom;Phylum;Class;Order;Family;Genus;freq;prev;p.freq;p.prev;p;contaminant
ASV_1;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown;0.054482842;77;NA;0.999976559;0.999976559;FALSE
ASV_2;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | Algitalea;0.032307168;76;NA;0.999941397;0.999941397;FALSE
ASV_3;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales | Hyphomonadaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales | Hyphomonadaceae | Litorimonas;0.038536004;78;NA;0.99999414;0.99999414;FALSE
ASV_4;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhizobiales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhizobiales | Rhizobiaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhizobiales | Rhizobiaceae | Nitratireductor;0.040859751;78;NA;0.99999414;0.99999414;FALSE
ASV_5;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown;0.030965307;73;NA;0.999671824;0.999671824;FALSE
ASV_6;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales | Hyphomonadaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales | Hyphomonadaceae | Litorimonas;0.021783257;78;NA;0.99999414;0.99999414;FALSE
ASV_7;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae | Granulosicoccus;0.018037646;78;NA;0.99999414;0.99999414;FALSE
ASV_8;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown;0.012181268;33;NA;0.898640413;0.898640413;FALSE
ASV_9;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | Croceitalea;0.00908075;78;NA;0.99999414;0.99999414;FALSE
ASV_10;Bacteria;Bacteria | Actinobacteria;Bacteria | Actinobacteria | Acidimicrobiia;Bacteria | Actinobacteria | Acidimicrobiia | Microtrichales;Bacteria | Actinobacteria | Acidimicrobiia | Microtrichales | Microtrichaceae;Bacteria | Actinobacteria | Acidimicrobiia | Microtrichales | Microtrichaceae | Sva0996 marine group;0.01133814;78;NA;0.99999414;0.99999414;FALSE
ASV_11;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | Croceitalea;0.008722857;78;NA;0.99999414;0.99999414;FALSE
ASV_12;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae | Granulosicoccus;0.008638861;77;NA;0.999976559;0.999976559;FALSE
ASV_13;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales | Hyphomonadaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Caulobacterales | Hyphomonadaceae | unknown genus;0.006844293;77;NA;0.999976559;0.999976559;FALSE
