;SUI_A001;SUI_A002;SUI_A003;SUI_A006;SUI_A007;SUI_A008;SUI_A011;SUI_A012;SUI_A013;SUI_A016;SUI_A017;SUI_A018;SUI_A021;SUI_A022;SUI_A023;SUI_A026;SUI_A027;SUI_A028;SUI_A031;SUI_A032;SUI_A033;SUI_A036;SUI_A037;SUI_A038;SUI_A041;SUI_A042;SUI_A043;SUI_A046;SUI_A047;SUI_A048;SUI_A051;SUI_A052;SUI_A053;SUI_A056;SUI_A057;SUI_A058;SUI_A061;SUI_A062;SUI_A063;SUI_A066;SUI_A067;SUI_A068;SUI_A071;SUI_A072;SUI_A073;SUI_A076;SUI_A077;SUI_A078;SUI_A081;SUI_A082;SUI_A083;SUI_A086;SUI_A087;SUI_A088;SUI_A091;SUI_A092;SUI_A093;SUI_A096;SUI_A097;SUI_A098;SUI_A106;SUI_A107;SUI_A108;SUI_A111;SUI_A112;SUI_A113;SUI_A116;SUI_A117;SUI_A118;SUI_A121;SUI_A122;SUI_A123;SUI_A131;SUI_A132;SUI_A133;SUI_A146;SUI_A147;SUI_A148;SUI_EB1;SUI_EB2;SUI_NC
ASV_1;26;31;40;23;2;3;1;3;0;101;39;58;24;8;25;20;40;97;612;64;113;2;1;8;83;160;182;1446;389;1262;717;128;450;198;47;8;8;18;8;2122;2889;2644;4653;1828;2567;123;1298;137;39;63;175;6;15;10;2448;1996;2985;1966;2472;3930;14;421;639;7;1;2;83;66;48;2105;333;1298;37;15;117;2887;994;3229;0;0;0
ASV_2;14;22;33;8;3;16;0;2;2;17;1;35;32;24;15;41;17;52;6;0;7;2;3;4;72;173;27;27;17;10;1051;346;4109;22;9;74;49;45;45;1992;412;264;1863;2777;43;48;45;57;859;267;506;20;108;34;817;120;575;2648;282;331;1624;2206;821;163;319;1220;12;22;10;1041;423;481;1062;821;499;121;330;496;0;0;0
ASV_3;1579;567;1786;2980;1270;1424;226;472;343;911;558;416;5236;1143;600;351;45;124;461;300;200;36;30;74;139;566;632;322;719;289;68;29;56;200;108;114;38;51;41;40;148;73;163;127;63;26;27;32;81;30;38;191;600;102;48;102;95;51;40;26;19;17;16;148;55;32;8;8;14;18;26;15;30;21;11;15;16;21;0;0;0
ASV_4;1304;932;180;1533;607;918;210;111;124;57;69;886;736;175;1556;269;39;87;2390;1537;2026;32;47;76;300;963;1376;633;943;1030;86;50;30;97;86;205;44;91;55;53;44;25;294;75;160;49;34;63;71;74;42;493;875;245;33;105;92;83;127;49;8;13;8;170;33;27;89;163;486;13;14;15;16;8;16;6;4;5;0;0;0
ASV_5;813;504;459;635;319;631;90;481;699;931;642;479;155;258;288;65;3;0;64;71;212;3;10;9;128;67;88;21;46;44;13;6;18;63;36;90;3;11;13;10;29;6;41;15;7;24;23;24;1396;1116;1221;2115;2738;871;230;374;746;404;678;159;6;3;3;20;14;11;0;4;2;5;3;2;3;4;2;0;0;0;0;0;0
ASV_6;329;88;145;99;95;512;32;20;34;394;946;797;1252;1451;1771;158;7;26;320;237;241;5;7;9;367;314;176;390;661;493;70;94;296;62;39;128;15;35;20;66;98;55;425;131;80;6;8;9;398;120;275;77;214;77;119;64;167;62;63;63;197;180;132;68;65;81;6;6;12;80;138;62;163;176;113;62;98;57;0;0;0
ASV_7;478;703;730;147;93;283;418;546;409;538;945;464;3032;682;408;152;41;82;47;33;46;16;31;69;49;28;146;143;91;79;76;43;47;17;6;41;29;64;68;57;66;50;128;82;73;47;38;78;13;13;11;53;126;192;39;109;55;79;61;77;8;8;13;8;3;4;19;14;15;7;15;11;6;7;5;12;13;14;0;0;0
ASV_8;1;17;1;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;1;0;0;0;0;0;0;0;4;1412;8226;482;15;5;5;7;11;12;7;6;10;248;5;1233;1;7;0;0;0;0;0;0;0;0;0;0;2;42;3;4;18;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0
ASV_9;67;31;68;5;1;20;21;9;5;12;3;65;31;22;23;115;135;180;30;24;113;34;31;20;50;31;23;65;107;123;153;71;150;27;21;120;35;63;50;143;91;167;341;124;94;396;478;548;229;92;85;21;104;28;196;211;284;171;168;168;60;93;29;51;41;78;45;35;17;367;192;226;63;46;46;98;91;177;0;0;0
ASV_10;31;81;90;8;4;17;12;68;31;8;11;37;36;24;43;91;261;54;457;301;119;131;162;111;43;24;12;214;268;115;165;78;156;341;386;387;82;154;90;51;77;86;326;89;159;125;113;172;61;22;70;7;188;109;82;255;89;46;42;29;30;25;40;79;38;32;3;6;6;14;75;25;12;20;9;11;19;24;0;0;0
